COD_MATERIAL,COD_CICLO,DES_CATEGORIA_MATERIAL,DES_MARCA_MATERIAL,FLG_DATA,FLG_CAMPANHA_MKT_A,FLG_CAMPANHA_MKT_B,FLG_CAMPANHA_MKT_C,FLG_CAMPANHA_MKT_D,FLG_CAMPANHA_MKT_E,FLG_CAMPANHA_MKT_F,PCT_DESCONTO,VL_PRECO,QT_VENDA
6246,201908,anon_S12,anon_S53,1,0.0,0.0,0.0,0.0,0.0,0.0,,461.4,240.0
6246,201915,anon_S12,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,461.4,240.0
6306,201916,anon_S12,anon_S53,1,0.0,0.0,0.0,0.0,0.0,0.0,,521.4,240.0
6480,201801,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,528.0
6480,201802,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,564.0
6480,201803,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,528.0
6480,201804,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,540.0
6480,201805,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,522.0
6480,201806,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,540.0
6480,201807,anon_S12,anon_S17,1,0.0,0.0,0.0,0.0,0.0,0.0,,798.18,678.0
6480,201808,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,264.0
6480,201809,anon_S12,anon_S17,1,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,498.0
6480,201810,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,604.08,1074.0
6480,201811,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,621.12,630.0
6480,201813,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,713.4,486.0
6480,201902,anon_S12,anon_S17,0,0.0,0.0,0.0,0.0,0.0,0.0,,833.4,240.0
6528,201908,anon_S12,anon_S85,1,0.0,0.0,0.0,0.0,0.0,0.0,,403.5,240.0
6630,201908,anon_S5,anon_S61,1,0.0,0.0,0.0,0.0,0.0,0.0,,413.4,246.0
6636,201811,anon_S5,anon_S61,0,0.0,0.0,0.0,0.0,0.0,0.0,,413.4,240.0
6876,201801,anon_S12,anon_S41,0,0.0,0.0,0.0,0.0,0.0,0.0,,737.4,240.0
6876,201810,anon_S12,anon_S41,0,0.0,0.0,0.0,0.0,0.0,0.0,,689.4,246.0
6876,201904,anon_S12,anon_S41,0,0.0,0.0,0.0,0.0,0.0,0.0,,749.4,240.0
7098,201802,anon_S12,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,737.4,246.0
7098,201804,anon_S12,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,683.4,240.0
7098,201807,anon_S12,anon_S45,1,0.0,0.0,0.0,0.0,0.0,0.0,,683.4,246.0
7098,201813,anon_S12,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,689.4,246.0
7098,201914,anon_S12,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,689.4,258.0
7098,201916,anon_S12,anon_S45,1,0.0,0.0,0.0,0.0,0.0,0.0,,689.4,240.0
7098,202002,anon_S12,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,749.4,240.0
7098,202101,anon_S12,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,791.4,
7230,201801,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,785.4,240.0
7230,201803,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,785.4,240.0
7230,201804,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,785.4,252.0
7230,201805,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,785.4,240.0
7230,201806,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,785.4,480.0
7230,201809,anon_S12,anon_S42,1,0.0,0.0,0.0,0.0,0.0,0.0,,683.4,252.0
7230,201812,anon_S12,anon_S42,1,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,201813,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,689.4,522.0
7230,201902,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,201903,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,201910,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,201913,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,201914,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,201916,anon_S12,anon_S42,1,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,202003,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,258.0
7230,202008,anon_S12,anon_S42,1,0.0,0.0,0.0,0.0,0.0,0.0,,809.4,240.0
7230,202011,anon_S12,anon_S42,1,0.0,0.0,0.0,0.0,0.0,0.0,,863.4,246.0
7230,202016,anon_S12,anon_S42,1,0.0,0.0,0.0,0.0,0.0,0.0,,863.4,
7230,202101,anon_S12,anon_S42,0,0.0,0.0,0.0,0.0,0.0,0.0,,863.4,
7242,201917,anon_S12,anon_S67,1,0.0,0.0,0.0,0.0,0.0,0.0,,773.4,240.0
7416,202015,anon_S5,anon_S45,0,0.0,0.0,0.0,0.0,0.0,0.0,,353.94,240.0
7818,201804,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,359.94,240.0
7818,201806,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,359.94,246.0
7818,201809,anon_S11,anon_S53,1,0.0,0.0,0.0,0.0,0.0,0.0,,359.94,240.0
7818,201817,anon_S11,anon_S53,1,0.0,0.0,0.0,0.0,0.0,0.0,,359.94,240.0
7818,201901,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,359.94,240.0
7830,201811,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,334.5,240.0
7830,201914,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,334.5,240.0
7842,201912,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,334.5,240.0
7854,201818,anon_S11,anon_S53,1,0.0,0.0,0.0,0.0,0.0,0.0,,334.5,240.0
7854,201907,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,334.5,240.0
7860,201811,anon_S11,anon_S53,0,0.0,0.0,0.0,0.0,0.0,0.0,,342.0,240.0
7860,202008,anon_S11,anon_S53,1,0.0,0.0,0.0,0.0,0.0,0.0,,342.0,240.0
7938,201911,anon_S5,anon_S39,1,0.0,0.0,0.0,0.0,0.0,0.0,,413.4,240.0
7938,201916,anon_S5,anon_S39,1,0.0,0.0,0.0,0.0,0.0,0.0,,413.4,240.0
8346,201805,anon_S12,anon_S76,0,0.0,0.0,0.0,0.0,0.0,0.0,,773.4,240.0
8346,201809,anon_S12,anon_S76,1,0.0,0.0,0.0,0.0,0.0,0.0,,773.4,240.0
